issue_type,lat,lon
Rats,42.3896278,-71.1042964
Rats,42.4044075,-71.1281176
Rats,42.376694,-71.099892
Rats,42.3954853,-71.1057891
Rats,42.379074,-71.090256
Rats,42.3950012,-71.1014254
Rats,42.3944645,-71.0963189
Rats,42.382808,-71.0904579
Rats,42.3808019,-71.0947405
Rats,42.3860546,-71.0911659
Rats,42.37506,-71.1009609
Rats,42.3864585,-71.0896791
Rats,42.3927121,-71.101054
Rats,42.4092417,-71.1264465
Rats,42.4018233,-71.1151199
Rats,42.3846394,-71.110942
Rats,42.402245,-71.123207
Rats,42.3800305,-71.1015627
Rats,42.3794868,-71.1003403
Rats,42.379602,-71.1005434
Rats,42.3795832,-71.1008684
Rats,42.3796014,-71.1011933
Rats,42.3795505,-71.1018036
Rats,42.4019043,-71.1192978
Rats,42.3806268,-71.1048143
Rats,42.3899663,-71.0982222
Rats,42.3936098,-71.1017504
Rats,42.39917444,-71.12143181
Rats,42.3982232,-71.1227329
Rats,42.38092876,-71.09603811
Rats,42.389298,-71.0988722
Rats,42.374647,-71.0996399
Rats,42.3832004,-71.0882992
Rats,42.3844964,-71.0891
Rats,42.378517,-71.103935
Rats,42.4092344,-71.127169
Rats,42.3766837,-71.0996962
Rats,42.3818635,-71.089726
Rats,42.3870078,-71.1079307
Rats,42.3869617,-71.1087834
Rats,42.388866,-71.0855717
Rats,42.3825687,-71.1009324
Rats,42.3923816,-71.1097814
Rats,42.3820407,-71.0933014
Rats,42.382233,-71.093636
Rats,42.3897024,-71.0929764
Rats,0,0
Rats,42.3798523,-71.09925
Rats,42.3795051,-71.1054178
Rats,42.3917277,-71.0957154
Rats,42.398855,-71.1129381
Rats,42.3898218,-71.0999863
Rats,42.375301,-71.095802
Rats,42.3857135,-71.097433
Rats,42.3934273,-71.1196228
Rats,42.38018,-71.097931
Rats,42.376167,-71.103468
Rats,42.3763563,-71.1037916
Rats,42.3749423,-71.1007774
Rats,42.3882707,-71.1090619
Rats,42.3844846,-71.0804418
Rats,42.4009824,-71.1191121
Rats,42.3834439,-71.0886005
Rats,42.3955178,-71.1081567
Rats,42.3813463,-71.0984776
Rats,42.3858374,-71.1049071
Rats,42.38921,-71.091042
Rats,42.3793651,-71.1048143
Rats,42.3792374,-71.1053713
Rats,42.3801,-71.098061
